Ref,Val,Package,PosX,PosY,Rot,Side
"C41","0.1u","CAP_NONPOL_0402",90.270000,-80.510000,45.000000,top
"C42","0.1u","CAP_NONPOL_0402",188.565000,-105.810000,-90.000000,top
"C43","22u","CAP_NONPOL_0805",201.992254,-88.894817,-135.000000,top
"C44","0.1u","CAP_NONPOL_0402",200.070000,-90.805000,45.000000,top
"C45","1n","CAP_NONPOL_0402",181.970000,-101.710000,90.000000,top
"C46","0.1u","CAP_NONPOL_0402",189.865000,-105.810000,90.000000,top
"C47","0.1u","CAP_NONPOL_0402",200.320000,-97.360000,180.000000,top
"C48","13p","CAP_NONPOL_0402",204.775000,-98.905001,90.000000,top
"C49","13p","CAP_NONPOL_0402",204.770000,-96.810000,-90.000000,top
"C50","0.1u","CAP_NONPOL_0402",194.770000,-103.610000,90.000000,top
"C51","1n","CAP_NONPOL_0402",181.970000,-98.210000,-90.000000,top
"C52","0.1u","CAP_NONPOL_0402",190.120000,-103.110000,0.000000,top
"C53","0.1u","CAP_NONPOL_0402",187.170000,-98.104089,-90.000000,top
"C54","0.1u","CAP_NONPOL_0402",187.170000,-95.310000,-90.000000,top
"C55","0.1u","CAP_NONPOL_0402",208.270000,-103.110000,0.000000,top
"C56","0.1u","CAP_NONPOL_0402",91.870000,-126.710000,0.000000,top
"C57","10u","CAP_NONPOL_1210",85.620000,-126.960000,0.000000,top
"C58","1u","CAP_NONPOL_0603",97.120000,-119.710000,0.000000,top
"C59","1u","CAP_NONPOL_0805",98.125001,-126.460000,0.000000,top
"C60","10u","CAP_NONPOL_1210",98.120000,-137.210000,0.000000,top
"C61","10n","CAP_NONPOL_0402",93.370000,-132.960000,0.000000,top
"C62","0.1u","CAP_NONPOL_0402",100.620000,-133.960000,-90.000000,top
"C63","1u","CAP_NONPOL_0603",167.370000,-101.810000,90.000000,top
"C64","10u","CAP_NONPOL_1210",106.115000,-116.910000,90.000000,top
"C65","10u","CAP_NONPOL_1210",103.870000,-104.610000,90.000000,top
"C66","10u","CAP_NONPOL_1210",107.620000,-129.110000,90.000000,top
"C67","22u","CAP_NONPOL_0805",216.970000,-82.810000,180.000000,top
"C68","22u","CAP_NONPOL_0805",213.970000,-84.810000,0.000000,top
"C69","0.1u","CAP_NONPOL_0402",113.620000,-130.915000,0.000000,top
"C70","0.1u","CAP_NONPOL_0402",112.120000,-118.615000,0.000000,top
"C71","0.1u","CAP_NONPOL_0402",109.970000,-106.410000,0.000000,top
"C72","0.1u","CAP_NONPOL_0402",108.670000,-89.660000,180.000000,top
"C73","1u","CAP_NONPOL_0603",102.370000,-111.710000,0.000000,top
"C74","0.1u","CAP_NONPOL_0402",214.370000,-79.810000,0.000000,top
"C75","0.1u","CAP_NONPOL_0402",210.670000,-106.210000,180.000000,top
"C76","22u","CAP_NONPOL_0805",216.970000,-69.610000,180.000000,top
"C77","22u","CAP_NONPOL_0805",213.770000,-69.610000,0.000000,top
"C78","22u","CAP_NONPOL_0805",213.970000,-82.810000,0.000000,top
"C79","0.1u","CAP_NONPOL_0402",169.470000,-88.760000,-90.000000,top
"C80","22u","CAP_NONPOL_0805",179.470000,-90.960000,180.000000,top
"C81","0.1u","CAP_NONPOL_0402",178.970000,-87.010000,180.000000,top
"C82","0.1u","CAP_NONPOL_0402",178.970000,-88.210000,180.000000,top
